id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60
1420237749353362187,235438978,,,41.15664308869157,-8.606183198920483,2.0,1.0,1.0,1.0,1125,1.0,2.0,1.0,1125.0,1.0,184.8,,11,41
1420245683960187751,235438978,,,41.15449148726761,-8.604908798708578,2.0,1.0,1.0,1.0,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,1,1
1420338255600172238,284475128,2.0,2.0,,,6.0,3.0,4.0,,365,3.0,4.0,365.0,365.0,3.9,365.0,,18,23
1420869711072400789,402745843,40.0,44.0,41.15317432416854,-8.602844094593403,2.0,1.0,1.0,1.0,1125,1.0,3.0,2.0,1125.0,1.9,188.3,,8,13
1420899671030175195,461006389,2.0,2.0,,,6.0,3.0,3.0,,365,,,365.0,365.0,5.0,365.0,,24,30
1420905035034423360,694011624,1.0,1.0,41.1459061,-8.60467,3.0,1.0,2.0,1.0,14,1.0,1.0,14.0,14.0,1.0,14.0,,4,17
1421009310529391197,124407258,,,41.157082513555885,-8.60111856868007,6.0,,6.0,,90,,,90.0,90.0,,90.0,,30,60
1421203710134183358,12730028,,,41.147749727436526,-8.612523101544665,2.0,1.0,1.0,1.0,365,1.0,2.0,365.0,365.0,2.0,365.0,,30,55
1421206812060706468,75279449,16.0,16.0,41.14432,-8.62151,6.0,2.0,4.0,2.0,365,2.0,3.0,365.0,365.0,2.9,365.0,,7,23
1421214286415150430,12730028,,,41.14705,-8.61265,2.0,1.0,1.0,1.0,365,1.0,,365.0,365.0,,365.0,,29,57
1421221335820181287,12730028,,,41.14689963773161,-8.612581696095166,2.0,1.0,1.0,1.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,29,52
1421222832738100863,12730028,,,41.14658669872836,-8.61405816998414,3.0,1.0,2.0,1.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,26,49
1421223349739080674,12730028,,,41.14657118698276,-8.614273080622294,4.0,1.0,3.0,1.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,29,53
1421654173077599688,12730028,,,41.13508059999999,-8.6090581,4.0,1.0,2.0,1.0,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,6,16
1421690236054732661,695483188,1.0,1.0,,,4.0,2.0,2.0,1.0,1125,1.0,3.0,3.0,1125.0,1.0,195.9,,7,20
1421697970508218638,124407258,,,41.152509407754025,-8.595287619419869,5.0,,5.0,,90,,,90.0,90.0,,90.0,,13,43
1421704008143681024,695667895,1.0,1.0,41.16466831881842,-8.622878282892533,6.0,3.0,4.0,3.0,31,3.0,3.0,31.0,31.0,3.0,31.0,,12,25
1421767458370788211,346047837,13.0,13.0,41.1679,-8.59736,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,25,25
1421769031652906377,445246508,9.0,11.0,41.1487324,-8.6019776,2.0,1.0,1.0,1.0,365,1.0,1.0,13.0,365.0,1.0,182.7,,16,39
1421802417026162751,431283509,,,41.1614892,-8.5869678,2.0,1.0,1.0,2.0,365,2.0,2.0,365.0,365.0,2.0,365.0,,14,26
1421805193477610884,346526631,1.0,2.0,,,4.0,2.0,2.0,,40,,,40.0,40.0,5.0,40.0,,28,30
1421813495063006334,346047837,13.0,13.0,41.1687001189157,-8.597100401058006,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,26,29
1421815842115992684,695701305,1.0,1.0,,-8.64187,4.0,2.0,4.0,2.0,30,2.0,2.0,30.0,30.0,2.0,30.0,,13,19
1421817771380189217,346047837,13.0,13.0,41.16774,-8.59826,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,25,25
1421821913809692402,346047837,13.0,13.0,41.16742263286796,-8.598053328858716,2.0,1.0,1.0,,365,,,365.0,365.0,5.0,365.0,,25,25
1421836754212925672,346047837,13.0,13.0,41.16496112780611,-8.601538416532692,2.0,1.0,2.0,,365,,,365.0,365.0,5.0,365.0,,0,0
1421841565634338460,346047837,13.0,13.0,41.165670396208746,-8.599685408921502,1.0,1.0,2.0,,365,,,365.0,365.0,5.0,365.0,,0,0
1422293894271297360,12730028,,,41.16360083631972,-8.631629893914486,6.0,2.0,4.0,1.0,365,1.0,2.0,365.0,365.0,2.0,365.0,,13,36
1422339379599146406,695821923,1.0,1.0,41.13496911077481,-8.610742970200885,6.0,2.0,4.0,3.0,365,3.0,3.0,365.0,365.0,3.0,365.0,,22,40
1422493204308375586,12730028,,,41.14832413471675,-8.612409102070751,2.0,1.0,1.0,1.0,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,,29,57
1422495322971517542,695859810,8.0,8.0,41.1354,-8.61113,2.0,1.0,1.0,1.0,1125,1.0,2.0,3.0,1125.0,1.5,42.8,,19,49
1422495598340878935,695859810,8.0,8.0,41.13470218377971,-8.61152111349914,2.0,1.0,1.0,1.0,1125,1.0,2.0,3.0,1125.0,1.5,27.8,,21,51
1422496266541170457,695859810,8.0,8.0,41.13521,-8.61244,2.0,1.0,1.0,1.0,1125,1.0,2.0,3.0,1125.0,1.5,39.7,,12,42
1422496524218853009,695859810,8.0,8.0,41.13669033203069,-8.610897772752928,4.0,2.0,2.0,1.0,1125,1.0,3.0,1.0,1125.0,1.5,92.2,,8,38
1422497070634258849,695859810,8.0,8.0,41.13498103941888,-8.611527785914559,2.0,1.0,1.0,1.0,1125,1.0,,4.0,1125.0,1.5,33.9,,18,48
